Session,paperID,authors,title,keywords,Language,Topics,Type,,Time Zone,
2,118,"Gillis, Tyler",History Through Exploration: Periphery Passive Engagement in Historical Video Games,"Video Games, Historical Learning, Periphery Passive Engagement, Assassin's Creed, Visual Historiography",English,"English, Global, Contemporary, digitization (2D and 3D), public humanities collaborations and methods, spatial and spatio-temporal analysis, modeling, and visualization, Game studies, History, Digital media, art, literature, history, music, film, and games, Digital public humanities, Humanistic research on digital objects and cultures, Use of digital technologies to write, publish, and review scholarship",Creative Presentation,,Eastern Daylight Time,
2,121,"Nogues, Collier",Feels Like Power: Excavating Militarized Spaces with Immersive Panoramic Poetry,"Immersive virtual reality, documentary poetry, demilitarization, transpacific studies, panoramic photography",English,"English, postcolonial, decolonial, and anticolonial approaches, Asia, Australia/Oceania, North America, 20th Century, Contemporary, electronic literature, production and analysis, virtual and augmented reality creation, systems, and analysis, Cultural studies, Literacy, composition, and creative writing, Media studies, East Asian Studies, Critical making, Digital media, art, literature, history, music, film, and games, Environmental humanities and climate justice",Creative Presentation,,Hong Kong (GMT+8),I would prefer not to present before 7AM or after 11PM HK time (GMT+8)
2,150,"McCabe, Erin",Pssst … are you a woman exploring a career in stem?,"Archival Silencing, research-creation, Secrecy, Sekretiki",English,"English, Experimental Humanities, North America, 20th Century, Contemporary, 3d printing, critical making, Design studies, Gender and sexuality studies, Science, Technology, and Society, Critical making, Humanities knowledge infrastructures, Resource creation, curation, and engagement",Creative Presentation,,Eastern European Summer Time EEST: UTC+3,Not able to present after 3PM est (due to daylight)
2,164,"Rodrigues, Liz",Tender Tokens: Jumpstarting Undergraduate Computational Hermeneutics,"pedagogy, llm, computational literary studies",English,"English, North America, 20th Century, curricular and pedagogical development and analysis, meta-criticism (reflections on digital humanities and humanities computing), text mining and analysis, Computer science, Literary studies, Computational Creativity, Humanistic research on digital objects and cultures, Machine learning, including AI and LLMs and their implications",Creative Presentation,,Central Standard Time,
2,175,"Alagni, Aurora",“A Nameless Man Came Among Us”: Stylometric Inquiries for Authorship in Luther Blissett’s Q,"authorial identity, stylometry, authorship attribution, collaborative writing, multivariate method",English,"English, Europe, 15th-17th Century, 20th Century, information retrieval and querying algorithms and methods, machine learning and natural language processing, text mining and analysis, Cultural studies, History, Literacy, composition, and creative writing, Literary studies, Modern Languages, Digital humanities tools and infrastructures, Humanistic and ethical approaches to data science and data visualization, Multilingualism in digital humanities",Creative Presentation,,CET,
2,176,"Miller, Rich","Crossing Borders, Policing Bodies: Reading Greene Through Digital Humanities and Modern U.S. Repression","Digital Humanities, Cristero Era / Post‑Revolutionary Mexico, Graham Greene, Identity‑Based Persecution, Transnational Politics",English,"English, North America, South America, 20th Century, Contemporary, digital archiving and preservation, public humanities collaborations and methods, Cultural studies, Education/Pedagogy, Hemispheric studies, History, Literary studies, digital humanities and/in libraries, Central American Studies, Digital cultural heritage, Digital public humanities, Humanities knowledge infrastructures",Creative Presentation,,EST,
2,178,"Orr, Arianna; Grumbach, Elizabeth",Dimensions Colliding: We Asked for a Third Space and All We Got Was This AI-Generated T-Shirt,"Zines, AI, Critical Technology Studies",English,"English, North America, Contemporary, 3d printing, critical making, physical & minimal computing, project design, organization, and management, Communication studies, Cultural studies, Ethnography, Media studies, Science, Technology, and Society, Critical making, Digital media, art, literature, history, music, film, and games, Humanities knowledge infrastructures, Machine learning, including AI and LLMs and their implications",Creative Presentation,,Mountain Standard Time,
2,180,"Kou-Herrema, Tianyi",A Digital Humanities Approach to Enhancing Undergraduate Students' AI Literacy,"DH pedagogy, AI literacy, language models, sentiment analysis, environmental humanities",English,"English, North America, Global, Contemporary, artificial intelligence and machine learning, curricular and pedagogical development and analysis, text mining and analysis, Education/Pedagogy, Environmental, ocean, and waterways studies, Informatics, Environmental humanities and climate justice, Humanistic research on digital objects and cultures, Humanities knowledge infrastructures, Machine learning, including AI and LLMs and their implications",Creative Presentation,,Eastern Time Zone (New York),June 25th from 1-2pm ET I have a meeting scheduled
2,186,"Grumbach, Liz (2); Lach, Pamella R. (1)",Digital Humanities and Liberatory Friendship: An Anti-Management Manifesto,"refusal, solidarity, friendship",English,"English, Labor, Infrastructure, and Critical University Studies, North America, Contemporary, digital activism and advocacy, Feminist studies, Collaborations for Community, Union, labor and organization in digital humanities",Creative Presentation,,Pacific Time Zone,
2,192,"Daedal, Quinn (1); Visconti, Amanda (2); Arribas-Colmenar, Sara (3); Karajgikar, Jajwalya (4)",#DHmakes Show-and-Tell Picnic,"craft, textiles, letterpress, activism",English,"English, LGBTQIA+ and Queer Studies, North America, Contemporary, 3d printing, critical making, digital activism and advocacy, physical & minimal computing, Book and Print history, Collaborations for Community, Critical making",Creative Presentation,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,archives memory and cultural heritage,,,,,,,,,
2,"pedagogy, methods, politics, and critical DH",,,,,,,,,
